lc_measuredDate,lc_createDate,lc_updateDate,lc_publishDate,lc_organizationId,lc_organizationName,lc_siteId,lc_siteName,lc_MGRSLatitude,lc_MGRSLongitude,lc_elevation,lc_pid,lc_DownwardCaption,lc_DownwardExtraData,lc_DownwardPhotoUrl,lc_EastCaption,lc_EastClassifications,lc_EastExtraData,lc_EastPhotoUrl,lc_East_CultivatedOrchards,lc_East_HerbaceousGrasslandShortGrass,lc_East_ShrubsLooselySpacedShortExtremelyDry,lc_East_ShrubsLooselySpacedTallExtremelyDry,lc_East_TreesCloselySpacedDeciduousBroadLeaved,lc_East_TreesCloselySpacedNotSureWhich,lc_East_TreesLooselySpacedDeciduousBroadLeaved,lc_East_TreesLooselySpacedExtremelyDry,lc_East_UrbanCommercialProperty,lc_East_UrbanOther,lc_East_UrbanResidentialProperty,lc_East_UrbanRoadsAndParking,lc_NorthCaption,lc_NorthClassifications,lc_NorthExtraData,lc_NorthPhotoUrl,lc_North_BarrenDrySaltFlats,lc_North_CultivatedOrchards,lc_North_HerbaceousGrasslandFernsOrFlowers,lc_North_HerbaceousGrasslandShortGrass,lc_North_ShrubsLooselySpacedShortEvergreen,lc_North_ShrubsLooselySpacedShortExtremelyDry,lc_North_ShrubsLooselySpacedTallExtremelyDry,lc_North_TreesCloselySpacedDeciduousBroadLeaved,lc_North_TreesCloselySpacedNotSureWhich,lc_North_TreesLooselySpacedDeciduousBroadLeaved,lc_North_TreesLooselySpacedEvergreenNeedleLeaved,lc_North_TreesLooselySpacedExtremelyDry,lc_North_UrbanCommercialProperty,lc_North_UrbanOther,lc_North_UrbanResidentialProperty,lc_North_UrbanRoadsAndParking,lc_SouthCaption,lc_SouthClassifications,lc_SouthExtraData,lc_SouthPhotoUrl,lc_South_CultivatedOrchards,lc_South_HerbaceousGrasslandShortGrass,lc_South_ShrubsLooselySpacedShortExtremelyDry,lc_South_ShrubsLooselySpacedTallExtremelyDry,lc_South_TreesCloselySpacedDeciduousBroadLeaved,lc_South_TreesCloselySpacedNotSureWhich,lc_South_TreesLooselySpacedDeciduousBroadLeaved,lc_South_TreesLooselySpacedExtremelyDry,lc_South_UrbanCommercialProperty,lc_South_UrbanOther,lc_South_UrbanResidentialProperty,lc_South_UrbanRoadsAndParking,lc_UpwardCaption,lc_UpwardExtraData,lc_UpwardPhotoUrl,lc_WestCaption,lc_WestClassifications,lc_WestExtraData,lc_WestPhotoUrl,lc_West_CultivatedOrchards,lc_West_HerbaceousGrasslandShortGrass,lc_West_ShrubsLooselySpacedShortExtremelyDry,lc_West_ShrubsLooselySpacedTallExtremelyDry,lc_West_TreesCloselySpacedDeciduousBroadLeaved,lc_West_TreesLooselySpacedDeciduousBroadLeaved,lc_West_TreesLooselySpacedExtremelyDry,lc_West_UrbanCommercialProperty,lc_West_UrbanOther,lc_West_UrbanResidentialProperty,lc_West_UrbanRoadsAndParking,lc_MucCode,lc_DataSource,lc_DryGround,lc_MucDetails,lc_MeasuredAt,lc_Muddy,lc_StandingWater,lc_LeavesOnTrees,lc_Userid,lc_RainingSnowing,lc_LandCoverId,lc_MucDescription,lc_SnowIce,lc_FieldNotes,lc_Latitude,lc_MeasurementElevation,lc_Longitude,lc_GlobeTeams,lc_PhotoCount,lc_RejectedCount,lc_PendingCount,lc_EmptyCount,lc_PhotoBitBinary,lc_PhotoBitDecimal,lc_ClassificationCount,lc_ClassificationBitBinary,lc_ClassificationBitDecimal,lc_NorthPrimary,lc_NorthSecondary,lc_EastPrimary,lc_EastSecondary,lc_SouthPrimary,lc_SouthSecondary,lc_WestPrimary,lc_WestSecondary,lc_PrimaryClassification,lc_SecondaryClassification,lc_PrimaryPercentage,lc_SecondaryPercentage,lc_SubCompletenessScore,lc_CumulativeCompletenessScore
2018-09-22,2021-05-23T17:27:19,2021-12-05T01:55:08,2021-12-05T02:00:00,17459532,Brazil Citizen Science,137474,22LGH177468,-15.84821,-48.96715,751,193443793,-9999,NA,NA,-9999,NA,(source: camera),https://data.globe.gov/system/photos/2018/09/22/849110/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,(source: camera),https://data.globe.gov/system/photos/2018/09/22/849111/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,False,NA,2018-09-22T14:05:00,False,False,True,48378495,False,162,NA,False,(none),-15.848,921,-48.9671,NA,2,0,0,4,000110,6,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.2,0.87
2018-09-29,2021-05-23T17:27:19,2021-12-05T01:55:08,2021-12-05T02:00:00,17459532,Brazil Citizen Science,138306,22KGV312941,-22.64436,-48.75024,627,193444172,-9999,"(source: app, (compassData.horizon: -82.3754144457996))",https://data.globe.gov/system/photos/2018/09/29/858621/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -15.813770248517471))",https://data.globe.gov/system/photos/2018/09/29/858616/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -17.887271063476305))",https://data.globe.gov/system/photos/2018/09/29/858615/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -18.55689106094586))",https://data.globe.gov/system/photos/2018/09/29/858617/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 81.48185591627154))",https://data.globe.gov/system/photos/2018/09/29/858620/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -16.434162129276828))",https://data.globe.gov/system/photos/2018/09/29/858619/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,True,NA,2018-09-29T15:43:00,False,False,True,40423717,False,569,NA,False,(none),-22.6442,803,-48.7494,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2018-09-29,2021-05-23T17:27:19,2021-12-05T01:55:08,2021-12-05T02:00:00,17459532,Brazil Citizen Science,138307,22KGV356775,-22.7936,-48.70496,727,193444173,-9999,"(source: app, (compassData.horizon: 75.71023728964005))",https://data.globe.gov/system/photos/2018/09/29/858628/original.jpg,-9999,NA,"(source: app, (compassData.horizon: 8.187801645092648))",https://data.globe.gov/system/photos/2018/09/29/858623/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: 3.042949344424329))",https://data.globe.gov/system/photos/2018/09/29/858622/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -14.909669418895689))",https://data.globe.gov/system/photos/2018/09/29/858624/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 84.64728351959255))",https://data.globe.gov/system/photos/2018/09/29/858627/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -18.683443065301915))",https://data.globe.gov/system/photos/2018/09/29/858626/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,True,NA,2018-09-29T16:17:00,False,False,True,40423717,False,570,NA,False,(none),-22.7932,803,-48.7042,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-02-17,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,143146,24MVS575988,-7.24816,-39.38499,493,193445525,-9999,"(source: app, (compassData.horizon: -88.53768966062725))",https://data.globe.gov/system/photos/2019/02/17/967997/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -9.292444971081778))",https://data.globe.gov/system/photos/2019/02/17/967993/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -10.309912492881352))",https://data.globe.gov/system/photos/2019/02/17/967992/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -9.166385965045777))",https://data.globe.gov/system/photos/2019/02/17/967994/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,(source: camera),https://data.globe.gov/system/photos/2019/02/17/967996/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -7.802738583640561))",https://data.globe.gov/system/photos/2019/02/17/967995/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,True,NA,2019-02-17T20:40:00,False,False,True,46472815,False,1893,NA,False,(none),-7.2478,324,-39.3841,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-01-23,2021-05-23T17:28:31,2021-05-23T17:28:31,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,144710,24MVS577993,-7.24364,-39.38318,486,193445291,-9999,"(source: app, (compassData.horizon: -87.51006851179069))",https://data.globe.gov/system/photos/2019/01/23/951007/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -8.644842420591871))",https://data.globe.gov/system/photos/2019/01/23/951003/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -10.472738477422624))",https://data.globe.gov/system/photos/2019/01/23/951002/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -9.482703000320925))",https://data.globe.gov/system/photos/2019/01/23/951004/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 88.4652625253055))",https://data.globe.gov/system/photos/2019/01/23/951006/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -11.583004859534896))",https://data.globe.gov/system/photos/2019/01/23/951005/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,False,NA,2019-01-23T20:33:00,False,True,True,46472815,False,1693,NA,False,(none),-7.2434,324,-39.3825,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-02-01,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,145202,24MVS576992,-7.24454,-39.38408,485,193445374,-9999,"(source: app, (compassData.horizon: -84.37137169830525))",https://data.globe.gov/system/photos/2019/02/01/957713/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -10.786910122274364))",https://data.globe.gov/system/photos/2019/02/01/957708/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -10.025666688651327))",https://data.globe.gov/system/photos/2019/02/01/957707/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -10.526568570318702))",https://data.globe.gov/system/photos/2019/02/01/957710/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,(source: camera),https://data.globe.gov/system/photos/2019/02/01/957712/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -11.054305186807454))",https://data.globe.gov/system/photos/2019/02/01/957711/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,True,NA,2019-02-01T20:32:00,False,False,True,46472815,False,1777,NA,False,(none),-7.2443,324,-39.3838,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-02-22,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146265,24MVS578994,-7.24273,-39.38227,484,193445572,-9999,"(source: app, (compassData.horizon: -88.85622751466609))",https://data.globe.gov/system/photos/2019/02/22/972342/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -7.71290528845924))",https://data.globe.gov/system/photos/2019/02/22/972335/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -7.570062824765813))",https://data.globe.gov/system/photos/2019/02/22/972334/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -9.120985145111291))",https://data.globe.gov/system/photos/2019/02/22/972336/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 87.27233352669724))",https://data.globe.gov/system/photos/2019/02/22/972340/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -11.190674644576077))",https://data.globe.gov/system/photos/2019/02/22/972337/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,False,NA,2019-02-22T14:51:00,True,True,True,46472815,False,1942,NA,False,(none),-7.2425,324,-39.382,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-02-22,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146265,24MVS578994,-7.24273,-39.38227,484,193445572,-9999,"(source: app, (compassData.horizon: -88.85622751466609))",https://data.globe.gov/system/photos/2019/02/22/972333/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -7.71290528845924))",https://data.globe.gov/system/photos/2019/02/22/972329/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -7.570062824765813))",https://data.globe.gov/system/photos/2019/02/22/972328/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -9.120985145111291))",https://data.globe.gov/system/photos/2019/02/22/972330/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 87.27233352669724))",https://data.globe.gov/system/photos/2019/02/22/972332/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -11.190674644576077))",https://data.globe.gov/system/photos/2019/02/22/972331/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,False,NA,2019-02-22T14:46:00,True,True,True,46472815,False,1941,NA,False,(none),-7.2425,324,-39.382,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-02-27,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146559,Invalid/abandoned,-20.89519,-48.82157,792,193445630,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M0111,GLOBE Data Entry Site Definition,NA,NA,2019-02-27T17:36:06.390213,NA,NA,NA,-9999,NA,20931,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain), Lowland  ",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-02-27,2021-05-23T17:28:42,2021-05-23T17:28:42,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146559,Invalid/abandoned,-20.89519,-48.82157,792,193445630,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M0111,GLOBE Data Entry Site Definition,NA,NA,2019-02-27T17:35:46.05345,NA,NA,NA,-9999,NA,20930,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain), Lowland  ",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-02,2021-05-23T17:28:56,2021-05-23T17:28:56,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146559,Invalid/abandoned,-20.89519,-48.82157,792,193445721,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M0111,GLOBE Data Entry Site Definition,NA,NA,2019-03-02T18:00:31.716137,NA,NA,NA,-9999,NA,20936,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain), Lowland  ",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-03,2021-05-23T17:28:56,2021-05-23T17:28:56,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146559,Invalid/abandoned,-20.89519,-48.82157,792,193445772,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M0111,GLOBE Data Entry Site Definition,NA,NA,2019-03-03T06:21:11.120342,NA,NA,NA,-9999,NA,20937,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain), Lowland  ",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-07,2021-05-23T17:28:56,2021-05-23T17:28:56,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146836,Cidadão Cientista Kaio Duarte,-19.85358,-44.61336,806,193445801,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M91,GLOBE Data Entry Site Definition,NA,NA,2019-03-07T22:31:43.48082,NA,NA,NA,-9999,NA,20963,"Urban, Residential",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-07,2021-05-23T17:28:56,2021-05-23T17:28:56,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146836,Cidadão Cientista Kaio Duarte,-19.85358,-44.61336,806,193445801,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M91,GLOBE Data Entry Site Definition,NA,NA,2019-03-07T22:32:36.032974,NA,NA,NA,-9999,NA,20964,"Urban, Residential",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-07,2021-05-23T17:28:56,2021-05-23T17:28:56,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,146836,Cidadão Cientista Kaio Duarte,-19.85358,-44.61336,806,193445801,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M91,GLOBE Data Entry Site Definition,NA,NA,2019-03-07T22:33:11.491284,NA,NA,NA,-9999,NA,20965,"Urban, Residential",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-03-12,2021-05-23T17:28:56,2021-12-05T01:55:08,2021-12-05T02:00:00,17459532,Brazil Citizen Science,147576,23LJC845490,-15.81786,-47.94506,1095,193445842,-9999,(source: camera),https://data.globe.gov/system/photos/2019/03/12/992816/original.jpg,-9999,NA,"(source: app, (compassData.heading: 90.05859569832683, compassData.horizon: -15.200715812270516))",https://data.globe.gov/system/photos/2019/03/12/992812/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.heading: 0.778900146484375, compassData.horizon: -11.431870191034392))",https://data.globe.gov/system/photos/2019/03/12/992811/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.heading: 180.9354248046875, compassData.horizon: -10.531913287842542))",https://data.globe.gov/system/photos/2019/03/12/992813/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,(source: camera),https://data.globe.gov/system/photos/2019/03/12/992815/original.jpg,-9999,NA,"(source: app, (compassData.heading: 274.8821105957031, compassData.horizon: 5.4204784448229475))",https://data.globe.gov/system/photos/2019/03/12/992814/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,True,NA,2019-03-12T14:06:00,False,False,True,52839508,False,2210,NA,False,Planted grass 50 years ago.,-15.8174,526,-47.9446,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-04-04,2021-05-23T17:29:19,2021-05-23T17:29:19,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,148103,24MVS577991,-7.24545,-39.38318,485,193446239,-9999,"(source: app, (compassData.horizon: -89.52046715098295))",https://data.globe.gov/system/photos/2019/04/04/1021029/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -5.950712312127649))",https://data.globe.gov/system/photos/2019/04/04/1021025/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -8.790617130583783))",https://data.globe.gov/system/photos/2019/04/04/1021024/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,"(source: app, (compassData.horizon: -11.006408297490779))",https://data.globe.gov/system/photos/2019/04/04/1021026/original.jpg,0,0,0,0,0,0,0,0,0,0,0,0,-9999,"(source: app, (compassData.horizon: 88.02949237765317))",https://data.globe.gov/system/photos/2019/04/04/1021028/original.jpg,-9999,NA,"(source: app, (compassData.horizon: -17.111352985351687))",https://data.globe.gov/system/photos/2019/04/04/1021027/original.jpg,0,0,0,0,0,0,0,0,0,0,0,NA,GLOBE Observer App,False,NA,2019-04-04T20:36:00,True,True,True,46472815,False,22437,NA,False,(none),-7.2452,324,-39.3825,NA,6,0,0,0,111111,63,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.6,0.94
2019-05-29,2021-05-23T17:29:45,2021-05-23T17:29:45,2021-05-23T17:41:46,57243834,República federativa do Brasil,156822,Cientista Kaio Duarte Costa,-19.85095,-44.61518,798,193447184,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M011,GLOBE Data Entry Site Definition,NA,NA,2019-05-29T23:31:58.165273,NA,NA,NA,-9999,NA,23614,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain)",NA,.,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.81
2019-05-30,2021-05-23T17:29:45,2021-05-23T17:29:45,2021-05-23T17:41:46,57243834,República federativa do Brasil,156822,Cientista Kaio Duarte Costa,-19.85095,-44.61518,798,193447187,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M011,GLOBE Data Entry Site Definition,NA,NA,2019-05-30T08:56:28.4768,NA,NA,NA,-9999,NA,23616,"Closed Forest, Mainly Evergreen, Tropical Wet (Rain)",NA,.,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.81
2019-06-27,2021-05-23T17:30:05,2021-05-23T17:30:05,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,159815,Kaio Duarte Costa (Cientista),-19.85088,-44.61522,-3492,193448067,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M91,GLOBE Data Entry Site Definition,NA,NA,2019-06-27T15:59:26.031122,NA,NA,NA,-9999,NA,24919,"Urban, Residential",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
2019-07-01,2021-05-23T17:30:53,2021-05-23T17:30:53,2021-05-23T17:41:46,14456036,Brazil GLOBE v-School,159815,Kaio Duarte Costa (Cientista),-19.85088,-44.61522,-3492,193448288,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,-9999,NA,NA,-9999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,M91,GLOBE Data Entry Site Definition,NA,NA,2019-07-01T01:19:53.817666,NA,NA,NA,-9999,NA,25188,"Urban, Residential",NA,NA,-9999.0,-9999,-9999.0,NA,0,0,0,6,000000,0,0,0000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.8
